t,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,xobj1,xobj2,u1,u2,u3,u4,u5,u6,u7,lambda1,lambda2,lambda3,contact_gap,slip_velocity,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
0.000000000000,0.000000000000,-1.180000000000,0.000000000000,2.180000000000,0.000000000000,0.570000000000,3.140000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.500000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.146703012766,0.000000000000,0.000000000000,1.872855381042,0.000000000000,1.345545291546,0.000000000000,-7.179819625125,0.000000000000
0.001000000000,-0.000000000000,-1.179963741526,-0.000000000000,2.180025104281,-0.000000000000,0.569880220939,3.140000000000,-0.000000000000,0.001845938366,-0.000000000000,0.001326549838,-0.000000000000,-0.007084911791,-0.000000000000,1.500000147969,0.000009976886,-0.000000000000,-0.572795102182,-0.000000000000,-0.099264586959,-0.000000000000,0.045515903893,-0.000000000000,0.000039524787,-0.000002539049,0.000025835226,0.146702245453,0.001297270433,-0.000000000000,1.819122836468,-0.000000000000,1.307624581099,-0.000000000000,-6.990337792989,-0.000000000000
0.002000000000,-0.000000000000,-1.179927748142,-0.000000000000,2.180050074574,-0.000000000000,0.569760307522,3.140000000000,-0.000000000000,0.003638448645,-0.000000000000,0.002615389554,-0.000000000000,-0.013981343259,-0.000000000000,1.500000297346,0.000019683540,-0.000000000000,-1.131318050661,-0.000000000000,-0.196008411861,-0.000000000000,0.089950270702,-0.000000000000,0.000078016183,-0.000004820337,0.000050822393,0.146701276623,0.002559474916,-0.000000000000,1.765999207937,-0.000000000000,1.270125047111,-0.000000000000,-6.802858979879,-0.000000000000
0.003000000000,-0.000000000000,-1.179892017964,-0.000000000000,2.180074911427,-0.000000000000,0.569640266281,3.140000000000,-0.000000000000,0.005378139754,-0.000000000000,0.003866940325,-0.000000000000,-0.020691297424,-0.000000000000,1.500000448085,0.000029122425,-0.000000000000,-1.675720769478,-0.000000000000,-0.290258587247,-0.000000000000,0.133314287460,-0.000000000000,0.000115485549,-0.000006847826,0.000074971605,0.146700108771,0.003786996236,-0.000000000000,1.713484495448,-0.000000000000,1.233046689580,-0.000000000000,-6.617383185796,-0.000000000000
0.004000000000,-0.000000000000,-1.179856549108,-0.000000000000,2.180099615388,-0.000000000000,0.569520103749,3.140000000000,-0.000000000000,0.007065620608,-0.000000000000,0.005081623326,-0.000000000000,-0.027216777304,-0.000000000000,1.500000600139,0.000038296007,-0.000000000000,-2.206155182673,-0.000000000000,-0.382042225658,-0.000000000000,0.175619141199,-0.000000000000,0.000151944246,-0.000008625482,0.000098292963,0.146698744392,0.004980217089,-0.000000000000,1.661578699001,-0.000000000000,1.196389508509,-0.000000000000,-6.433910410739,-0.000000000000
0.005000000000,-0.000000000000,-1.179821339689,-0.000000000000,2.180124187006,-0.000000000000,0.569399826458,3.140000000000,-0.000000000000,0.008701500124,-0.000000000000,0.006259859734,-0.000000000000,-0.033559785918,-0.000000000000,1.500000753461,0.000047206749,-0.000000000000,-2.722773214289,-0.000000000000,-0.471386439634,-0.000000000000,0.216876018952,-0.000000000000,0.000187403634,-0.000010157267,0.000120796570,0.146697185982,0.006139520078,-0.000000000000,1.610281818597,-0.000000000000,1.160153503895,-0.000000000000,-6.252440654709,-0.000000000000
0.006000000000,-0.000000000000,-1.179786387825,-0.000000000000,2.180148626827,-0.000000000000,0.569279440942,3.140000000000,-0.000000000000,0.010286387217,-0.000000000000,0.007402070726,-0.000000000000,-0.039722326286,-0.000000000000,1.500000908007,0.000055857114,-0.000000000000,-3.225726788365,-0.000000000000,-0.558318341717,-0.000000000000,0.257096107752,-0.000000000000,0.000221875076,-0.000011447146,0.000142492527,0.146695436036,0.007265287709,-0.000000000000,1.559593854235,-0.000000000000,1.124338675740,-0.000000000000,-6.072973917705,-0.000000000000
0.007000000000,-0.000000000000,-1.179751691631,-0.000000000000,2.180172935401,-0.000000000000,0.569158953733,3.140000000000,-0.000000000000,0.011820890804,-0.000000000000,0.008508677477,-0.000000000000,-0.045706401426,-0.000000000000,1.500001063728,0.000064249566,-0.000000000000,-3.715167828943,-0.000000000000,-0.642865044449,-0.000000000000,0.296290594630,-0.000000000000,0.000255369932,-0.000012499082,0.000163390937,0.146693497051,0.008357902391,-0.000000000000,1.509514805916,-0.000000000000,1.088945024044,-0.000000000000,-5.895510199728,-0.000000000000
0.008000000000,-0.000000000000,-1.179717249224,-0.000000000000,2.180197113276,-0.000000000000,0.569038371363,3.140000000000,-0.000000000000,0.013305619801,-0.000000000000,0.009580101166,-0.000000000000,-0.051514014358,-0.000000000000,1.500001220579,0.000072386570,-0.000000000000,-4.191248260065,-0.000000000000,-0.725053660369,-0.000000000000,0.334470666621,-0.000000000000,0.000287899562,-0.000013317039,0.000183501902,0.146691371526,0.009417746432,-0.000000000000,1.460044673639,-0.000000000000,1.053972548806,-0.000000000000,-5.720049500777,-0.000000000000
0.009000000000,-0.000000000000,-1.179683058719,-0.000000000000,2.180221161000,-0.000000000000,0.568917700365,3.140000000000,-0.000000000000,0.014741183123,-0.000000000000,0.010616762967,-0.000000000000,-0.057147168101,-0.000000000000,1.500001378513,0.000080270588,-0.000000000000,-4.654120005770,-0.000000000000,-0.804911302018,-0.000000000000,0.371647510755,-0.000000000000,0.000319475330,-0.000013904982,0.000202835524,0.146689061956,0.010445202042,-0.000000000000,1.411183457404,-0.000000000000,1.019421250026,-0.000000000000,-5.546591820853,-0.000000000000
0.010000000000,-0.000000000000,-1.179649118233,-0.000000000000,2.180245079121,-0.000000000000,0.568796947272,3.140000000000,-0.000000000000,0.016128189688,-0.000000000000,0.011619084058,-0.000000000000,-0.062607865673,-0.000000000000,1.500001537484,0.000087904086,-0.000000000000,-5.103934990100,-0.000000000000,-0.882465081939,-0.000000000000,0.407832314067,-0.000000000000,0.000350108594,-0.000014266873,0.000221401905,0.146686570840,0.011440651323,-0.000000000000,1.362931157212,-0.000000000000,0.985291127705,-0.000000000000,-5.375137159956,-0.000000000000
